Título,Autor,Editora,Páginas,Formato,Peso,Acabamento,Categoria,Edição,Preço
Livro A Saga Wingfeather: Nos Limites do Mar Sombrio da Escuridão - Andrew Peterson,Andrew Peterson,Editora Trinitas,304,16cm x 23cm,350 gramas,Brochura,,1ª Edição,65
Livro Os 10 Mandamentos da Esquerda Cristã - Michael J. Kruger,Michael J. Kruger,Editora Trinitas,80,14cm x 21cm,150 gramas,Brochura,,1ª Edição,40
Livro A Família Leitora - Sarah Mackenzie,Sarah Mackenzie,Editora Trinitas,272,16cm x 23cm,350 gramas,Brochura,,1ª Edição,65
Livro Platão: O Filósofo Educador - David Diener,David Diener,Editora Trinitas,112,14cm x 21cm,175 gramas,Brochura,,1ª Edição,40
Livro Breve Manual de Educação Clássica,,Editora Trinitas,96,14cm x 21cm,150 gramas,Brochura,,1ª Edição,30
"Jogos que ensinam a Bíblia, 52",Nancy S. Williamson,Shedd Publicações,64,21 x 28 cm,174 g.,Brochura,Infantil / Educacional,,"R$ 35,90"
Exegese do Novo Testamento,John Grassmick,Shedd Publicações,200,16 x 23 cm,289 g.,Brochura,Hermenêutica,,"R$ 48,90"
Bíblia da criançada,Mack Thomas - Dennas Davis,Shedd Publicações,462,17.00 x 24.00 cm,894.00 g.,Capa Dura,Educacional / Infantil,,"R$ 70,90"
Completando as aflições de Cristo,John Piper,Shedd Publicações,144,14.00 x 21.00 cm,160.00 g.,Brochura,Biografia - Vida Cristã,,"R$ 32,90"
Conselho aos pais para lidar com o pecado em seus filhos,Arthur Hildersham,Shedd Publicações,48,12.00 x 18.00 cm,60.00 g.,Brochura,Aconselhamento - Infantil/Educacional,,"R$ 17,90"
"Série teologia Bíblica - Cidade de Deus, A",T. Desmond Alexander,Shedd Publicações,192,14.00 x 21.00 cm,234 g.,Brochura,Teologia,,"R$ 42,90"
"Progresso da Redenção, O",Willem Vangemeren,Shedd Publicações,576,16.00 x 23.00 cm,830,Brochura,Teologia,,"R$ 118,90"
"Ladrão do coração vazio, O",Edmilson Bizerra,Shedd Publicações,32,16 x 22 cm,60 g.,Brochura,Infantil / Educacional,,"R$ 15,90"
Hermenêutica,,Shedd Publicações,200,14.00 x 21.00 cm,210.00 g.,Brochura,Hermenêutica,,"R$ 43,90"
Heróis Cristãos - 7. Rachel Saint,Janet Benge e Geoff Benge,Shedd Publicações,216,14.00 x 21.00 cm,263 g.,Brochura,Biografia,,"R$ 46,90"
"Legado da alegria soberana, O",John Piper,Shedd Publicações,160,14 x 21 cm,195 g.,Brochura,Biografia - Vida Cristã,,"R$ 36,90"
Série Teologia em Comunidade - Céu,Christopher W. Morgan &amp,Shedd Publicações,304,16.00 x 23.00 cm,450 g.,Brochura,Doutrina cristã,,"R$ 72,90"
Conselho aos pais para pastorear seus filhos,Richard Baxter,Shedd Publicações,48,12.00 x 18.00 cm,60.00 g.,Brochura,Aconselhamento - Infantil/Educacional,,"R$ 18,90"
"Messias no Antigo Testamento, O - Série estudos sobre a teologia bíblica do Antigo Testamento",Walter C. Kaiser Jr.,Shedd Publicações,224,16.00 x 23.00 cm,400 g.,Brochura,Antigo Testamento,,"R$ 51,90"
"Maneiras de incentivar a leitura da Bíblia, 52",Nancy S. Williamson,Shedd Publicações,64,21 x 28 cm,174 g.,Brochura,Infantil/Educacional,,"R$ 36,90"
"Testemunho do Espírito, O",Bernard Ramm,Shedd Publicações,160,14.00 x 21.00 cm,191.00 g.,Brochura,Apologética,,"R$ 35,90"
Volte-se para Deus,David F. Wells,Shedd Publicações,208,14.00 x 21.00 cm,248.00 g.,Brochura,Doutrina do Pecado,,"R$ 45,90"
Conselhos contra o medo pecaminoso,Richard Baxter,Shedd Publicações,40,12.00 x 18.00 cm,25.00 g.,Brochura,Aconselhamento - Educacional / Infantil,,"R$ 16,90"
"Maneiras de memorizar a Bíblia, 52",Nancy S. Williamson,Shedd Publicações,64,21 x 28 cm,174 g.,Brochura,Infantil/Educacional,,"R$ 36,90"
Dez princípios poderosos para o serviço cristão,Warren W. Wiersbe e David W. Wiersbe,Shedd Publicações,136,14.00 x 21.00 cm,170.00 g.,Brochura,Igreja - Liderança,,"R$ 35,90"
Antigo Testamento,Alec Motyer,Shedd,240,14.00 x 21.00 cm,200.00 g.,Brochura,Antigo Testamento,,"R$ 46,90"
Mulher: sua verdadeira feminilidade,Nancy Leigh DeMoss e Mary A. Kassian,Shedd Publicações,224,20.5 x 27.5 cm,780 g.,Brochura,Vida Cristã / Discipulado / Grupos Pequenos / Células / EBD / Igreja / Mulheres,,"R$ 68,90"
Arrependimento,Richard Owen Roberts,Shedd Publicações,344,16.00 x 23.00 cm,486.00 g.,Brochura,Vida Cristã,,"R$ 67,90"
Depressão,Michael Lawson,Shedd Publicações,184,14.00 x 21.00 cm,231 g.,Brochura,Aconselhamento,,"R$ 42,90"
Deus: 13 lições criativas sobre a Trindade,Judy Walsch,Shedd Publicações,112,16.00 x 23.00 cm,180.00 g.,Brochura,Infantil/Educacional,,"R$ 41,90"
Criando filhos que adoram a Deus,Patrick Kavanaugh,Shedd Publicações,176,14.00 x 21.00 cm,205.00 g.,Brochura,Liderança - Infantil/Educacional,,"R$ 41,90"
SCE - V. 10: Tiago,Andrew T. Le Peau - Phyllis J. Le Peau,Shedd Publicações,64,14.00 x 21.00 cm,70.00 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
"Bíblia e os livros, A",Russell P. Shedd,Shedd Publicações,56,12.00 x 18.00 cm,80.00 g.,Brochura,Vida Cristã,,"R$ 18,90"
Homossexualidade: Guia de orientação aos pais para a formação da criança,Joseph Nicolosi - Linda Ames Nicolosi,Shedd Publicações,248,16.00 x 23.00 cm,360 g.,Brochura,Aconselhamento - Liderança - Homossexualidade,,"R$ 50,90"
"Novo Testamento sua origem e análise, O",Merrill C. Tenney,Shedd Publicações,440,16 x 23 cm,620 g.,Brochura,Novo Testamento,,"R$ 84,90"
"Arte de Pastorear, A",David Hansen,Shedd Publicações,208,14.00 x 21.00 cm,251.00 g.,Brochura,Liderança,,"R$ 46,90"
"Arte e Ofício da pregação bíblica, A",Haddon W. Robinson / Craig Brian Larson,Shedd Publicações,888,16.00 x 23.00 cm,1184.00 g.,Brochura,Homilética,,"R$ 142,90"
"Tradição cristã, A: uma história do desenvolvimento da doutrina - Vol. 1",Jaroslav Pelikan,Shedd Publicações,376,16.00 x 23.00 cm,560.00 g.,Brochura,História,,"R$ 81,90"
Diversão com E.V.A.,Judy Walsch,Shedd Publicações,96,21.00 x 28.00 cm,248.00 g.,Brochura,Infantil - Estudo Bíblico - Grupos pequenos e EBD,,"R$ 41,90"
"Salmos como adoração cristã, Os",Bruce K. Waltke e James M. Houston,Shedd Publicações,608,16 x 23 cm,849 g.,Brochura,Comentário Bíblico,,"R$ 116,90"
Viva para a glória de Deus,Russell P. Shedd,Shedd Publicações,152,14.00 x 21.00 cm,180.00 g.,Brochura,Teologia - Vida Cristã,,"R$ 36,90"
SCE - V. 11: Esperança,Jack Kuhatschek,Shedd Publicações,64,14.00 x 21.00 cm,75 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
Transforme sua família,Howard G. Hendricks,Shedd Publicações,144,14.00 x 21.00 cm,180.00 g.,Brochura,Aconselhamento,,"R$ 33,90"
Autoridade e Poder,Russell P. Shedd,Shedd Publicações,152,14.00 x 21.00 cm,188.00 g.,Brochura,Liderança,,"R$ 36,90"
É hora de Jogar - A.T. 1 Gênesis à Josué - 80 Atividades,Thomas Brooks,Shedd Publicações,96,21.00 x 28.00 cm,241.00 g.,Brochura,Infantil,,"R$ 38,90"
Esboços bíblicos - de Gênesis a Apocalipse - Volume 1,C. H. Spurgeon,Shedd Publicações,352,16 x 23 cm,500 g.,Brochura,Homilética,,"R$ 62,90"
"Tradição Cristã, A: uma história do desenvolvimento da doutrina - Vol. 2",Jaroslav Pelikan,Shedd Publicações,336,16.00 x 23.00 cm,474.00 g.,Brochura,História,,"R$ 75,90"
Esperança abençoada,George Eldon Ladd,Shedd Publicações,208,14 x 21 cm,240 g.,Brochura,Vida Cristã,,"R$ 45,90"
SCE - V. 12: Atos,Phyllis J. Le Peau,Shedd Publicações,120,14.00 x 21.00 cm,115 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 18,90"
Céu nosso verdadeiro Lar,Joni Eareckson Tada,Shedd Publicações,264,14.00 x 21.00 cm,311.00 g.,Brochura,Vida Cristã,,"R$ 45,90"
É hora de Jogar - A.T. 2 Juizes à Jonas - 96 Atividades,Thomas Brooks,Shedd Publicações,96,21 x 28 cm,241 g.,Brochura,Infantil / Educacional,,"R$ 38,90"
Esboços bíblicos - de Gênesis a Apocalipse - Volume 2,C. H. Spurgeon,Shedd Publicações,224,16 x 23 cm,307 g.,Brochura,Homilética,,"R$ 48,90"
"Tradição cristã, A: uma história do desenvolvimento da doutrina - Vol. 3",Jaroslav Pelikan,Shedd Publicações,376,16.00 x 23.00 cm,528.00 g.,Brochura,História,,"R$ 86,90"
Chamado e os dons do Espírito Santo,Russell P. Shedd,Shedd Publicações,80,12.00 x 18.00 cm,80 g.,Brochura,Discipulado - Evangelismo/Missões,,"R$ 22,90"
"Salmos como Lamento Cristão, Os",,Shedd Publicações,360,16.00 x 23.00 cm,525 g.,Brochura,Comentário - Antigo Testamento,,"R$ 86,90"
"Surpreendente obra de Deus, A",Jonathan Edwards,Shedd Publicações,112,14.00 x 21.00 cm,145 g.,Brochura,Vida Cristã,,"R$ 27,90"
SCE - V. 13: Decisões,Donald Baker,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
Manual do pastor e líder,Edward B. Berkey,Shedd Publicações,288,16 x 23 cm,423 g.,Brochura,Liderança,,"R$ 49,90"
"É hora de Jogar - N.T. 1 Mateus, Marcos e João - 78 Atividades",Thomas Brooks,Shedd Publicações,88,21 x 28 cm,240 g.,Brochura,Infantil / Educacional,,"R$ 38,90"
"Tradição cristã, A - Vol. 5",Jaroslav Pelikan,Shedd Publicações,408,16.00 x 23.00 cm,593.00 g.,Brochura,História,,"R$ 96,90"
George Müller: homem de fé a quem Deus deu milhões,Charles R. Parsons,Shedd Publicações,56,14.00 x 21.00 cm,58.00 g.,Brochura,Bibliografia,,"R$ 16,90"
"Salmos como louvor cristão, Os",Bruce K. Waltke e James M. Houston,Shedd Publicações,352,16.00 x 23.00 cm,520 g.,Brochura,Comentário Bíblico,,"R$ 86,90"
Dinâmicas da vida espiritual,Richard F. Lovelace,Shedd Publicações,272,14 x 21 cm,308 g.,Brochura,Avivamento,,"R$ 52,90"
SCE - V. 14: Perdão,Douglas Connelly,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
Como o ferro afia o ferro,Howard Hendricks - William Hendricks,Shedd Publicações,256,23.00 x 16.00 cm,350.00 g.,Brochura,Liderança - Vida Cristã,,"R$ 57,90"
É hora de Jogar - N.T. 2 Lucas e Atos - 76 Atividades,Thomas Brooks,Shedd Publicações,96,21 x 28 cm,241 g.,Brochura,Infantil / Educacional,,"R$ 38,90"
Igreja: um relato teológico e histórico,Gerald Bray,Shedd Publicações,328,16.00 x 23.00 cm,480 g.,Brochura,História da igreja,,"R$ 65,90"
"Espírito Santo, O",Michael Green,Shedd publicações,256,16.00 x 23.00 cm,374.00 g.,BROCHURA,Igreja,,"R$ 55,90"
SCE - V. 15: A cruz,John Stott,Shedd Publicações,80,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 16,90"
Companheiros de luta,Stu Weber,Shedd Publicações,248,16.00 x 23.00 cm,360.00 g.,Brochura,Vida Cristã,,"R$ 47,90"
Preparado para o combate da fé,C. H. Spurgeon,Shedd Publicações,72,14 x 21 cm,100 g.,Brochura,Liderança,,"R$ 15,90"
Enciclopédia bíblica de trabalhos manuais | Volume 1,Group Publishing,Shedd Publicações,216,21 x 28 cm,506 g.,Brochura,Infantil / Educacional,,"R$ 54,90"
"Tradição cristã, A: uma história do desenvolvimento da doutrina - Vol. 4",Jaroslav Pelikan,Shedd Publicações,472,16.00 x 23.00 cm,660.00 g.,Brochura,História,,"R$ 111,90"
Deus no Sinai - Série estudos sobre a teologia bíblica do Antigo Testamento,Jeffrey J. Niehaus,Shedd publicações,368,16.00 x 23.00 cm,605 g.,Brochura,Antigo Testamento,,"R$ 80,90"
"Soberana vocação da maternidade, A",W. J. Chantry,Publicações Evangélicas Selecionadas,32,11.00 x 18.00 cm,32.00 g.,Brochura,Mulheres / Vida Cristã,,"R$ 12,90"
SCE - V. 16: Sofrimento,Edmilson Bizerra,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Discipulado,,"R$ 15,90"
Ordenação de mulheres: que diz o Novo Testamento?,Augustus Nicodemus Lopes,Publicações Evangélicas Selecionadas - PES,64,11 x 18 cm,54 g.,Brochura,Liderança,,"R$ 14,90"
Enciclopédia bíblica de trabalhos manuais | Volume 2,Diversos Autores,Shedd Publicações,216,20.50 x 27.50 cm,585.00 g.,Brochura,Infantil/Educacional,,"R$ 54,90"
História da teologia cristã,Gerald Bray,Shedd Publicações,1376,16.00 x 23.00 cm,1737 g.,Capa dura,História,,"R$ 231,90"
"Comentário de Marcos, O",James R. Edwards,Shedd Publicações,634,16.00 x 23.00 cm,850 g.,Brochura,Comentário bíblico - Novo testamento,,"R$ 124,90"
Graça ao final - Série estudos sobre a teologia bíblica do Antigo Testamento,J. Gordon McConville,Shedd publicações,160,16.00 x 23.00 cm,250 g.,Brochura,Antigo Testamento,,"R$ 40,90"
SCE - V. 17: Parábolas,John White,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
Entendendo o Antigo Testamento,Raymand Brown,Shedd Publicações,200,14 x 21 cm,245 g.,Brochura,Antigo Testamento,,"R$ 44,90"
Jogos bíblicos,Diversos Autores,Shedd Publicações,256,16 x 23 cm,370 g.,Brochura,Infantil,,"R$ 59,90"
Origens judaicas do Novo Testamento,J. Julius Scott Jr.,Shedd Publicações,432,16.00 x 23.00 cm,615 g.,Brochura,Novo Testamento,,"R$ 82,90"
"Felicidade segundo Jesus, A",Russell P. Shedd,EVN,128,14.00 x 21.00 cm,151.00 g.,Brochura,Espiritualidade - Novo Testamento - Comentário Bíblico,,"R$ 33,90"
Memórias de Sandfields,Bethan Lloyd-Jones,Publicações Evangélicas Selecionadas - PES,110,14 x 18 cm,127 g.,Brochura,Biografia,,"R$ 21,90"
SCE - V. 18: Mateus,Stephen &amp,Shedd Publicações,112,14.00 x 21.00 cm,116.00 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 18,90"
Ensina-me sobre Deus,L. J. Sattgast e Jan Elkins,Shedd Publicações,160,16.00 x 16.50 cm,290 g.,Capa dura,Infantil / Educacional,,"R$ 49,90"
"Box Tradição cristã, A - Vols. 1 a 5",Jaroslav Pelikan,Shedd Publicações,1968,16 x 23 cm,2930 g.,Brochura,História,,"R$ 413,90"
Epístolas da prisão,Russell P. Shedd - Dewey M. Mulholland,EVN,320,14.00 x 21.00 cm,330.00 g.,Brochura,Comentário Bíblico - Novo Testamento - Estudo Bíblico - Grupos pequenos e EBD,,"R$ 64,90"
SCE - V. 19: Fruto do Espírito,Hazel Offner,Shedd Publicações,56,14.00 x 21.00 cm,65.00 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã - Espiritualidade,,"R$ 15,90"
Em busca de Deus,John Piper,Shedd Publicações,296,16 x 23 cm,460 g.,Brochura,Vida Cristã,,"R$ 55,90"
Com quem me casarei?,A. Swanson,Publicações Evangélicas Selecionadas,40,11.00 x 18.00 cm,38.00 g.,Brochura,Estudo Bíblico - Vida Cristã,,"R$ 13,90"
"Líder que Deus usa, O",Russell P. Shedd,EVN,128,14.00 x 21.00 cm,165.00 g.,Brochura,Liderança - Ministério Pastoral,,"R$ 35,90"
"Comentário de Lucas, O",James R. Edwards,SHEDD,928,16.00 x 23.00 cm,1270,Brochura,Comentário Bíblico - Novo Testamento - Exegese,,"R$ 189,90"
SCE - V. 2: Caráter Cristão,,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Vida Cristã - Estudo Bíblico - Grupos pequenos e EBD,,"R$ 15,90"
"Grande tecelão, O",Ravi Zacharias,Shedd Publicações,192,14.00 x 21.00 cm,228.00 g.,Brochura,Vida Cristã,,"R$ 43,90"
Heróis Cristãos - 9. Isobel Kuhn,Janet Benge e Geoff Benge,Shedd Publicações,240,14.00 x 21.00 cm,285 g.,Brochura,Biografia,,"R$ 50,90"
"Estilo de Jesus, O",Gayle D. Erwin,Shedd Publicações,192,14 x 21 cm,210 g.,Brochura,Liderança,,"R$ 40,90"
"Comentário de Colossenses e Filemom, O",Douglas J. Moo,Shedd Publicações,552,16.00 x 23.00 cm,792 g.,Bochura,Comentário Bíblico - Novo Testamento - Exegese,,"R$ 128,90"
Heróis Cristãos - 8. Sundar Singh,Janet Benge e Geoff Benge,Shedd Publicações,192,14.00 x 21.00 cm,235 g.,Brochura,Biografia,,"R$ 41,90"
SCE - V. 20: 1Coríntios,Paul Stevens &amp,Shedd publicações,96,14.00 x 21.00 cm,102.00 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
"Imitação de Cristo, A",Thomas Kempis,Shedd Publicações,216,14 x 21 cm,270g.,Brochura,Vida Cristã,,"R$ 39,90"
Rota 52 - descubra o amor de Deus,Thomas Brooks,Shedd Publicações,320,20.5 x 27.5 cm,739 g.,Brochura,Infantil,,"R$ 77,90"
Sem lugar para a verdade,David F. Wells,Shedd Publicações,360,16 x 23 cm,515 g.,Brochura,Teologia,,"R$ 77,90"
Heróis Cristãos - 10. Gladys Aylward,Janet Benge e Geoff Benge,Shedd Publicações,216,14.00 x 21.00 cm,252 g.,Brochura,Biografia,,"R$ 46,90"
SCE - V. 22: FÉ,Dale e Sandy Larsen,Shedd Publicações,64,14 x 21 cm,74 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã - Discipulado,,"R$ 16,90"
Intimidade com Deus,Vickey Banks,Shedd Publicações,216,14 x 21 cm,237 g.,Brochura,Vida Cristã - Mulheres,,"R$ 44,90"
Rota 52 - Siga Jesus,Thomas Brooks,Shedd Publicações,320,20.5 x 27.5 cm,739 g.,Brochura,Infantil,,"R$ 77,90"
SCE - V. 3: Mulher Piedosa,Cindy Bunch,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
"Evangelho do reino, O",George Eldon Ladd,Shedd Publicações,152,14 x 21 cm,177 g.,Brochura,Novo Testamento,,"R$ 39,90"
Heróis Cristãos - 1. George Müller,Janet Benge e Geoff Benge,Shedd Publicações,208,14 x 21 cm,240 g.,Brochura,Biografia,,"R$ 44,90"
SCE - V. 4: Virtudes Cristãs,Cindy Bunch,Shedd Publicações,64,14.00 x 21.00 cm,85 g.,Brochura,Estudo Bíblico - Grupos pequenos e EBD - Vida Cristã,,"R$ 15,90"
